fr,de
fâché,verärgert
sportif,sportlich
ennuyeux,langweilig
courageux,mutig
tranquille,ruhig
froid,kalt
assuré,selbstbewusst
amical,freundlich
drôle,lustig
heureux,glücklich
lourd,schwer
chaud,heiß
impatient,ungeduldig
intéressant,interessant
gentil,nett
paresseux,faul
solitaire,alleine
nerveux,nervös
patient,geduldig
belle,schön
triste,traurig
effrayé,verängstigt
petit,klein
timide,schüchtern
fort,stark
mince,dünn
fatigué,müde
froid,unfreundlich
faible,schwach
intelligent,intelligent
