sv,de
hört,gehört
gått,gegangen
ätit,gegessen
gett,gegeben
hittat,gefunden
dött,gestorben
förlorat,verloren
skurit,geschnitten
stängt,geschlossen
tagit,genommen
känt,gefühlt
skrivit,geschrieben
försökt,versucht
valt,gewählt
glömt,vergessen
åkt,gegangen
vetat,gewusst
levt,gelebt
öppnat,geöffnet
upptäckt,entdeckt
