sv,de
fick,durfte
måste,muss
borde,sollte
får,darf
lära sig,lernen
tvungen,gezwungen
rolig,lustig
hade,hattest
dålig,schlecht
en skog,ein Wald
låta vara ensam,alleine lassen
hindra,abhalten (prevent)
uppnå,erreichen (Ziel)
sakna,vermissen
påverka,beeinflussen
precis lika bra,genau so gut
