lb,de
och,auch
gutt,gut
Schéinen Dag,Guten Tag
Stad (eng/d’),Stadt (eine/die)
flott,schön
Wéi geet et dir?,Wie geht’s dir?
merci,danke
schlecht,schlecht
moien,hallo
äddi,tschüss
wunnen,wohnen
gläichfalls,gleichfalls
heeschen,heißen
