nl,de
de slagtand,der Stoßzahn (Elefant)
het nijlpaard,das Nilpferd
het hert,der Hirsch
de mus,der Spatz
de adelaar/de arend,der Adler
de pauw,der Pfau
de hagedis,die Eidechse
de kikkervis,die Kaulquappe
het zeepaardje,das Seepferdchen
de kieuw,die Kieme
de rups,die Raupe
de krekel,die Grille
de sprinkhaan,die Heuschrecke
de duizendpoot,der Tausendfüßler
het lieveheersbeestje,der Marienkäfer
de kwal,die Qualle
