nl,de
het hengsel,der Henkel
de winkelwagen,der Einkaufswagen
de kant-en-klaar-maaltijd,das Fertiggericht
de dranken,die Getränke
de hoestdrank,der Hustensaft
de vervaldatum,das Verfallsdatum
het boeket/de tuil/de ruiker,der Blumenstrauß
de aansteker,das Feuerzeug
de noga,das Nougat
de banketbakkerij,die Konditorei
