nl,de
de menukaart,die Speisekarte
de parasol,der Sonnenschirm
de barkruk,der Barhocker
het bierviltje,der Bierdeckel
de flesopener,der Flaschenöffner
de kurkentrekker,der Korkenzieher
het rietje,der Strohhalm
hier opeten,hier essen
om mee te nemen,zum Mitnehmen
